Nanjangud,12.12,76.68
Chittorgarh,24.879999,74.629997
Ratnagiri,16.994444,73.300003
Goregaon,19.155001,72.849998
Pindwara,24.7945,73.055
Raipur,21.25,81.629997
Gokak,16.1667,74.833298
Lucknow,26.85,80.949997
Delhi,28.610001,77.230003
Mumbai,19.07609,72.877426
Sagar,14.16704,75.040298
Jalpaiguri,26.540457,88.719391
Pakur,24.633568,87.849251
Sardarshahar,28.440554,74.493011
Sirohi,24.882618,72.858894
Jaysingpur,16.779877,74.556374
Ramanagara,12.715035,77.281296
Chikkaballapura,13.432515,77.727478
Channapatna,12.651805,77.208946
Surendranagar,22.728392,71.637077
Thiruvalla,9.383452,76.574059
Ranebennur,14.623801,75.621788
Karaikal,10.92544,79.838005
Belgaum,15.852792,74.498703
Chatrapur,19.354979,84.986732
Suri,23.905445,87.52462
Bhubaneswar,20.296059,85.824539
Mahuva,21.105001,71.771645
Jagadhri,30.172716,77.299492
Barh,25.477585,85.709091
Bhusawal,21.045521,75.801094
Alipurduar,26.49189,89.5271
Kollam,8.893212,76.614143
Medinipur,22.430889,87.321487
Patan,23.849325,72.126625
Mettur,11.786253,77.800781
Huliyar,13.583274,76.540154
Harihar,14.530457,75.801094
Rasayani,18.901457,73.176132
Haringhata,22.96051,88.567406
Kushtagi,15.756595,76.192696
Jadugora,22.656015,86.352882
Orai,25.989836,79.450035
Surajpur,23.223047,82.87056
Ambernath,19.186354,73.191948
Malerkotla,30.525005,75.890121
Jorapokhar,22.422455,85.760651
Vizianagaram,18.106659,83.395554
Durg,21.190449,81.28492
Himmatnagar,23.597969,72.969818
Sambhal,28.590361,78.571762
Harnaut,25.369179,85.53006
Port Blair,11.623377,92.726486
Suti,24.618393,88.024338
Banswara,23.546757,74.43383
Batumi,41.643414,41.6399
Manikchak,25.077787,87.900375
Roorkee,29.854263,77.888
Kavali,14.913181,79.992981
Dharmavaram,14.413745,77.712616
Siddipet,18.101904,78.852074
Dhanpuri,23.173939,81.565125
Chirala,15.812074,80.355377
Markapur,15.764501,79.259491
Chalakudy,10.311879,76.331978
